Category Name,Average Sales Rank
"Caesar, Sid",1249.0
"Channing, Stockard",1249.0
"Conaway, Jeff",1249.0
"Conn, Didi",1249.0
"Donnelly, Jamie",1249.0
"Ghostley, Alice",1249.0
"Goodman, Dody",1249.0
"John, Olivia Newton",1249.0
"Manoff, Dinah",1249.0
"Pearl, Barry",1249.0
"Travolta, John",1249.0
"Tucci, Michael",1249.0
"Ward, Kelly",1249.0
"Kleiser, Randal",1249.0
All Disney Titles,1274.0
Drama,1421.5
Gaiam,1430.0
Suzanne Deason,1430.0
Relaxation,1430.0
Special Interests,1430.0
Special Interests,1430.0
( P ),1442.0
"Gordon, Keith",1442.0
"Gorman, Cliff",1442.0
"Lange, Jessica",1442.0
"Margulies, David",1442.0
"Reinking, Ann",1442.0
"Scheider, Roy",1442.0
"Tolan, Michael",1442.0
"Vereen, Ben",1442.0
"Wright, Max",1442.0
"Fosse, Bob",1442.0
General,1442.0
"Moreno, Rita",1456.5
"Stone, Stuart",1456.5
"Vieira, Asia",1456.5
"Warner, Malcolm Jamal",1456.5
Magic School Bus,1456.5
( V ),1468.0
Wedding Bells,1468.0
"Arquette, Alexis",1468.0
"Dow, Ellen Albertini",1468.0
"Featherstone, Angela",1468.0
"Glave, Matthew",1468.0
"Idol, Billy",1468.0
"McTavish, Patrick",1468.0
"Nealon, Kevin",1468.0
"Pickles, Christina",1468.0
"Sivero, Frank",1468.0
"Taylor, Christine",1468.0
"Thelen, Jodi",1468.0
"Coraci, Frank",1468.0
Contemporary,1468.0
Romantic Comedies,1468.0
Romantic Comedies,1468.0
"Hopkins, Anthony",1516.0
General,1522.0
Comedy,1522.0
General,1522.0
Simpsons,1522.0
Boxed Sets,1522.0
Friends,1558.0
"Campbell, Julia",1558.0
"Cumming, Alan",1558.0
"Garofalo, Janeane",1558.0
"George, Tami Adrian",1558.0
"Goldin, Ricky Paull",1558.0
"Hendrix, Elaine",1558.0
"Kudrow, Lisa",1558.0
"Long, Kathy",1558.0
"Manheim, Camryn",1558.0
"Theroux, Justin",1558.0
"Vargas, Jacob",1558.0
Relaxation & Stress Control,1578.0
Serenades & Divertimentos,1586.0
Marches,1586.0
Cincinnati Symphony Orchestra,1586.0
Russian,1586.0
"Blank, Kim",1589.0
"Cannon, Dyan",1589.0
"Harris, Estelle",1589.0
"Lemmon, Jack",1589.0
"Linden, Hal",1589.0
"Matthau, Walter",1589.0
"Misawa, Goh",1589.0
"O'Bryan, Sean",1589.0
"O'Connor, Donald",1589.0
"Powers, Alexandra",1589.0
"Rich, Allan",1589.0
"Spiner, Brent",1589.0
"Stritch, Elaine",1589.0
"Tomei, Concetta",1589.0
"Coolidge, Martha",1589.0
Jack Lemmon,1589.0
Walter Matthau,1589.0
Greece,1648.0
Yanni,1648.0
Yoga + Pilates,1827.0
Costume Adventures,1842.0
Swashbucklers,1842.0
"Zeta Jones, Catherine",1842.0
"Rivers, Victor",1842.0
"Campbell, Martin",1842.0
Zorro,1842.0
"Cashman, Dan",1903.0
"Chaves, Richard",1903.0
"Silva, Geno",1903.0
"Stevens, Andrew",1903.0
"Tweed, Shannon",1903.0
"Mcdonald, Rodney",1903.0
Mystery,1903.0
"Blake, Geoffrey",1938.0
"Chester, Sami",1938.0
"Fichtner, William",1938.0
"Foster, Jodie",1938.0
"Garner, Thomas",1938.0
"Gifford, Dan",1938.0
"King, Larry",1938.0
"Malone, Jena",1938.0
"Martini, Max",1938.0
"McConaughey, Matthew",1938.0
"McNeil, Timothy",1938.0
"Skerritt, Tom",1938.0
"Strozier, Henry",1938.0
"Valencia, Vance",1938.0
"Woods, James",1938.0
"Zemeckis, Robert",1938.0
Drama,1938.0
Aliens,1938.0
Deals Under $10,1990.25
Deals Under $10,1990.25
Gandhi,2087.0
Gandhi,2087.0
"Gandhi, Mahatma",2087.0
"Capri, Ahna",2165.0
"Clark, Marlene",2165.0
"Kent, Allan",2165.0
"Lee, Bruce",2165.0
"Saxon, John",2165.0
"Yeung, Bolo",2165.0
"Clouse, Robert",2165.0
Bruce Lee,2165.0
Action & Adventure,2171.0
Drama,2171.0
Epic,2171.0
"Baltz, Kirk",2171.0
"Cardinal, Tantoo",2171.0
"Chaykin, Maury",2171.0
"Costner, Kevin",2171.0
"Grace, Wayne",2171.0
"Grant, Rodney A",2171.0
"Herman, Jimmy",2171.0
"Hotton, Donald",2171.0
"Joshua, Larry",2171.0
"McDonnell, Mary",2171.0
"Pastorelli, Robert",2171.0
"Rocket, Charles",2171.0
"Westerman, Floyd Red Crow",2171.0
"Costner, Kevin",2171.0
Civil War,2171.0
"Browne, Roscoe Lee",2241.0
"Jay, Tony",2241.0
"McGoohan, Patrick",2241.0
"Murray, Brian Doyle",2241.0
"Short, Martin",2241.0
"Thompson, Emma",2241.0
"Wincott, Michael",2241.0
"Clements, Ron",2241.0
"Musker, John",2241.0
"Axton, Hoyt",2258.0
"Bartel, Paul",2258.0
"Bridges, Beau",2258.0
"Edwards, Anthony",2258.0
"Kaplan, Jonathan",2258.0
Underdogs,2258.0
Prayerbooks,2612.0
Space Exploration,2705.0
Miniseries,2705.0
General,2705.0
"Macdowell, Andie",2718.5
"Baer, Parley",2774.0
"Dunn, Kevin",2774.0
"Gierasch, Stefan",2774.0
"Hunt, Bonnie",2774.0
"Kingsley, Ben",2774.0
"Kline, Kevin",2774.0
"Linney, Laura",2774.0
"Prince, Faith",2774.0
"Schwarzenegger, Arnold",2774.0
"Smith, Anna Deavere",2774.0
"Weaver, Sigourney",2774.0
Assumed Identity,2774.0
"Reitman, Ivan",2774.0
Ivan Reitman,2774.0
Fiction,2805.0
Drugs,2805.0
Fiction,2805.0
Gossip Girl,2805.0
"Andrews, Stanley",2813.0
"Blair, Janet",2813.0
"Ford, Ross",2813.0
"Jergens, Adele",2813.0
"Joy, Nicholas",2813.0
"Mcguire, Don",2813.0
"Skelton, Red",2813.0
"Space, Arthur",2813.0
"Simon, S Sylvan",2813.0
"Melendez, Bill",2848.0
Charlie Brown & Peanuts,2848.0
Hollywood Bowl Symphony Orchestra,2861.0
General,2898.0
( R ),2972.0
"Springer, Jerry",3036.0
Jerry Springer,3036.0
( C ),3038.5
Political Thriller,3073.0
"Archer, Anne",3073.0
"Armstrong, Alun",3073.0
"Bean, Sean",3073.0
"Birch, Thora",3073.0
"Ford, Harrison",3073.0
"Fox, James",3073.0
"Jackson, Samuel L",3073.0
"Threlfall, David",3073.0
"Noyce, Phillip",3073.0
Tom Clancy Thrillers,3073.0
Harrison Ford,3073.0
Samuel L. Jackson,3073.0
Action & Adventure,3073.0
"Brown, James",3100.0
"Cryer, Jon",3100.0
"Fairchild, Morgan",3100.0
"Goldblum, Jeff",3100.0
"Henderson, Florence",3100.0
"Loggia, Robert",3100.0
"Marino, Dan",3100.0
"Mcclurg, Edie",3100.0
"Sales, Soupy",3100.0
"White, Betty",3100.0
"Herek, Stephen",3100.0
Eddie Murphy,3100.0
Aliens,3207.0
( T ),3693.0
History Channel,3693.0
"Metcalf, Laurie",3837.5
Epic,3844.0
"Brennan, Walter",3844.0
"Carey, Harry",3844.0
"Clift, Montgomery",3844.0
"Dru, Joanne",3844.0
"Fix, Paul",3844.0
"Gray, Coleen",3844.0
"Ireland, John",3844.0
"Lyden, Pierce",3844.0
"Tyler, Tom",3844.0
"Wales, Wally",3844.0
"Wayne, John",3844.0
"Worden, Hank",3844.0
"Hawks, Howard",3844.0
MGM Western Legends,3844.0
Howard Hawks,3844.0
John Wayne,3844.0
Contemporary,3870.3333333333335
( K ),3897.5
"Corman, Maddie",3989.0
"Eigeman, Chris",3989.0
"Fiennes, Ralph",3989.0
"Lopez, Jennifer",3989.0
"Richardson, Natasha",3989.0
"Tucci, Stanley",3989.0
"Hill, Terence",4073.0
"Baez, Joan",4166.0
"Dylan, Bob",4166.0
"Faithfull, Marianne",4166.0
"Ginsberg, Allen",4166.0
Biography,4166.0
"Dylan, Bob",4166.0
Docurama,4166.0
"Clement, Dora",4246.0
"Curtis, Alan",4246.0
"Frazee, Jane",4246.0
"Howard, Shemp",4246.0
"Pendleton, Nat",4246.0
"Strang, Harry",4246.0
"Walker, Nella",4246.0
Love Triangle,4246.0
"Lubin, Arthur",4246.0
Slapstick,4246.0
Alternative Rock,4250.0
Alternative,4250.0
"Bennett, Nigel",4258.0
"Harper, Hill",4258.0
"Jackson, Joshua",4258.0
"McDonald, Christopher",4258.0
"Nelson, Craig T",4258.0
"Petersen, William L",4258.0
"Cohen, Rob",4258.0
Miscarriage of Justice,4258.0
DVDs Under $15,4258.0
Spanish,4277.0
"Depardieu, Gerard",4329.0
"Edelman, Gregg",4329.0
"Guttman, Ronald",4329.0
"Jones, Simon",4329.0
"Keosian, Jessie",4329.0
"Mccourt, Malachy",4329.0
"Neuwirth, Bebe",4329.0
"Phillips, Ethan",4329.0
"Prosky, Robert",4329.0
"Smith, Lois",4329.0
"Wedgeworth, Ann",4329.0
Fish Out of Water,4329.0
"Weir, Peter",4329.0
"Hoskins, Bob",4396.5
"Boynton, Sandra",4452.0
Space Adventure,4475.666666666667
Fantasy,4476.0
"Allen, Karen",4476.0
"Blocker, Dirk",4476.0
"Bridges, Jeff",4476.0
"Daniels, Alex",4476.0
"Davis, John Walter",4476.0
"Edwards, Tony",4476.0
"Phalen, Robert",4476.0
"Smith, Charles Martin",4476.0
"White, Ted",4476.0
"Carson, Johnny",4504.0
"Mcmahon, Ed",4504.0
"Taylor, Elizabeth",4504.0
Comedy,4504.0
Classics,4504.0
"Alda, Alan",4508.0
"Burstyn, Ellen",4508.0
"Kuby, Bernie",4508.0
"Mulligan, Robert",4508.0
Romantic Adventure,4528.0
"Baker, George",4528.0
"Ferzetti, Gabriele",4528.0
"Lazenby, George",4528.0
"Lee, Bernard",4528.0
"Llewelyn, Desmond",4528.0
"Maxwell, Lois",4528.0
"Rigg, Diana",4528.0
"Savalas, Telly",4528.0
"Schell, Catherine",4528.0
Timothy Dalton & George Lazenby,4528.0
Action & Adventure,4528.0
All Titles,4528.0
( B ),4609.0
( E ),4609.0
( A ),4609.0
"Armstrong, Bess",4609.0
"MacCorkindale, Simon",4609.0
"Putch, John",4609.0
"Quaid, Dennis",4609.0
"Thompson, Lea",4609.0
"Tomlin, Lily",4618.0
"Bartel, Paul",4795.0
"Carradine, David",4795.0
"Collins, Roberta",4795.0
"Jameson, Joyce",4795.0
"Kove, Martin",4795.0
"Morey, Bill",4795.0
"Woronov, Mary",4795.0
"Bartel, Paul",4795.0
Sci-Fi & Fantasy,4795.0
Cher,4804.0
"Miner, Jan",4804.0
"Ricci, Christina",4804.0
"Schoeffling, Michael",4804.0
"Benjamin, Richard",4804.0
( S ),4814.0
"Badland, Annette",4814.0
"Hickson, Joan",4814.0
"Kendall, Merelina",4814.0
"Wilkinson, Tom",4814.0
Mystery,4814.0
Whodunnit?,4814.0
Espionage,4879.0
Espionage,4879.0
Espionage,4879.0
Fiction,4953.0
"Ellis, Deborah",4953.0
Sports & Activities,5011.5
Comedy,5045.0
Cowboys & Indians,5045.0
"Ansara, Michael",5045.0
"Aumont, Tina",5045.0
"Barcroft, Roy",5045.0
"Beddoe, Don",5045.0
"Bishop, Joey",5045.0
"Delon, Alain",5045.0
"Farnsworth, Richard",5045.0
"Forsyth, Rosemary",5045.0
"Graves, Peter",5045.0
"Martin, Dean",5045.0
"Prine, Andrew",5045.0
"Wallace, George",5045.0
"Gordon, Michael",5045.0
Teen,5164.0
Teen Terror,5164.0
"Fox, Vivica A",5164.0
"Green, Seth",5164.0
"Hart, Christopher",5164.0
"Monaco, Kelly",5164.0
"Noseworthy, Jack",5164.0
"Ray, Connie",5164.0
"Sawa, Devon",5164.0
"Sterling, Mindy",5164.0
"Willard, Fred",5164.0
"Wormer, Steve Van",5164.0
"Flender, Rodman",5164.0
Teen,5164.0
Teen Terror,5164.0
Teen,5164.0
Teen Terror,5164.0
"Harris, Charlaine",5287.0
"Plisetskaya, Maya",5310.0
Saudi Arabia,5361.0
Crumbling Marriages,5434.0
Infidelity,5434.0
"Arquette, Rosanna",5434.0
"Blum, Mark",5434.0
"Esposito, Giancarlo",5434.0
"Joy, Robert",5434.0
Madonna,5434.0
"Patton, Will",5434.0
"Wright, Steven",5434.0
"Seidelman, Susan",5434.0
Screwball Comedy,5434.0
Screwball Comedy,5434.0
"Winchell, Paul",5488.0
Winnie-the-Pooh,5488.0
All Titles,5488.0
Drama,5517.666666666667
All Works by Allegri,5540.0
"Byrd, William",5540.0
All Works by Gesualdo,5540.0
All Works by Lassus,5540.0
All Works by Taverner,5540.0
Tallis Scholars,5540.0
All Works by Lobo,5540.0
"Livingston, Ron",5545.5
Detectives,5582.0
( L ),5744.0
"Cadiente, David",5744.0
"Duran, Larry",5744.0
"Endoso, Kenny",5744.0
"Gerard, Gil",5744.0
"Gray, Erin",5744.0
"Hensley, Pamela",5744.0
"Jones, Steve",5744.0
"Kelly, Colleen",5744.0
"O'Connor, Tim",5744.0
"Serna, Gil",5744.0
"Silva, Henry",5744.0
"Haller, Daniel",5744.0
General,5744.0
Buck Rogers in the 25th Century,5744.0
Futuristic,5744.0
Technology Run Amok,5744.0
Futuristic,5744.0
Cons & Scams,5747.5
"Goodman, Linda",5759.0
"Bottoms, Timothy",5811.0
"Corbett, Gretchen",5811.0
"Frank, Charles",5811.0
"Hassett, Marilyn",5811.0
"Healey, Myron",5811.0
"Peerce, Larry",5811.0
True Story,5811.0
Love Story,5811.0
"Sondheim, Stephen",5812.0
Retro Swing,5859.0
Classic R&B,5859.0
Star-Crossed Lovers,5862.0
"Bartlett, Robin",5913.0
"Braugher, Andre",5913.0
"Cage, Nicolas",5913.0
"Feore, Colm",5913.0
"Franz, Dennis",5913.0
"Patterson, Jay",5913.0
"Putch, John",5913.0
"Ryan, Meg",5913.0
"Silberling, Brad",5913.0
"Arenberg, Lee",5947.0
"Bacarella, Mike",5947.0
"Beasley, John",5947.0
"Knight, Wayne",5947.0
"Meadows, Stephen",5947.0
"Pitoniak, Anne",5947.0
"Root, Stephen",5947.0
"Turner, Kathleen",5947.0
"Kanew, Jeff",5947.0
Private Eyes,5966.0
"Baxendale, Helen",5985.0
Miniseries,5985.0
Mystery & Suspense,5985.0
"Stallone, Sylvester",6000.0
"Converse, Frank",6035.0
"Dewhurst, Colleen",6035.0
"Dunsmore, Rosemary",6035.0
"Follows, Megan",6035.0
"Hiller, Wendy",6035.0
"Lightstone, Marilyn",6035.0
"Lynch, Kate",6035.0
"Sullivan, Kevin",6035.0
10-12 Years,6134.142857142857
"Rhames, Ving",6205.5
Television,6254.333333333333
Science Fiction,6317.0
"Aratama, Michiyo",6353.0
"Mikuni, Rentaro",6353.0
"Nakadai, Tatsuya",6353.0
"Nakamura, Ganjiro",6353.0
"Sato, Kei",6353.0
"Sugimura, Haruko",6353.0
"Tamba, Tetsuro",6353.0
"Kobayashi, Masaki",6353.0
Classics,6353.0
"Blondell, Joan",6380.0
Class Differences,6422.0
Adapted from Books,6450.666666666667
General,6464.5
DVDs Under $15,6470.0
"Booth, Shirley",6493.0
"Haade, William",6493.0
"Jaeckel, Richard",6493.0
"Lancaster, Burt",6493.0
"Leeds, Peter",6493.0
"Max, Edwin",6493.0
"Moore, Terry",6493.0
"Ober, Philip",6493.0
Addiction & Alcoholism,6493.0
21st Century,6518.0
"Auster, Paul",6522.0
Sundance Channel Store,6594.0
All Sundance Titles,6594.0
Drama,6594.0
Bert & Ernie,6631.0
"Arbus, Allan",6662.0
"Brimley, Wilford",6662.0
"Coster, Nicolas",6662.0
"Fonda, Jane",6662.0
"Perrine, Valerie",6662.0
"Pollack, Sydney",6662.0
"Redford, Robert",6662.0
"Saxon, John",6662.0
"Pollack, Sydney",6662.0
( R ),6672.0
"Hartman, Phil",6672.0
"Lovitz, Jon",6672.0
Coming of Age,6708.0
Sports,6708.0
Editing,6762.0
Fitness,6770.5
Fitness,6770.5
Eating Disorders,6785.0
"Zamprogna, Gema",6810.0
"Gamble, Mason",6822.0
"Hall, Philip Baker",6822.0
"Sinise, Gary",6822.0
School Days,6822.0
Class Differences,6822.0
"Hawthorne, Nigel",6848.0
"Kitson, Ken",6848.0
"Mcewan, Geraldine",6848.0
"Scales, Prunella",6848.0
General,6848.0
"Brock, Kelly Le",6869.0
"Sadler, William",6869.0
"Seagal, Steven",6869.0
"Malmuth, Bruce",6869.0
Steven Seagal,6869.0
Cult Movies,6871.0
Cult Movies,6871.0
CDs $7 - $10,6899.0
CDs $7 - $10,6899.0
CDs $7 - $10,6899.0
All Bargain Titles,6899.0
All Bargain Titles,6899.0
All Bargain Titles,6899.0
"Grodin, Charles",6924.0
Fighting the System,6924.0
Animals,6958.0
All Titles,6958.0
"Blackmail, Murder & Mayhem",7037.0
All A&E Titles,7043.0
Latin Rap,7045.0
"Sadler, Nicholas",7054.0
DVDs Under $15,7059.75
MGM DVDs Under $20,7144.333333333333
( K ),7189.0
Political Drama,7189.0
"Banderas, Antonio",7189.0
"Connelly, Jennifer",7189.0
"Contreras, Patricio",7189.0
"Gallardo, Camilo",7189.0
"Lopez, Jorge Rivera",7189.0
"Sandrelli, Stefania",7189.0
Argentina,7189.0
Political Drama,7189.0
Love & Romance,7189.0
Political Drama,7189.0
Love & Romance,7189.0
All MGM Titles,7190.25
Killers,7205.0
"Avery, Val",7205.0
"Axelrod, Nina",7205.0
"Lafleur, Art",7205.0
"Nielsen, Brigitte",7205.0
"Rasche, David",7205.0
"Robinson, Andrew",7205.0
"Santoni, Reni",7205.0
"Thompson, Brian",7205.0
Chase Movies,7205.0
Sylvester Stallone,7205.0
7-9 Years,7262.0
"Cook, Ron",7328.0
"Cunningham, Danny",7328.0
"Serkis, Andy",7328.0
"Simm, John",7328.0
"Winterbottom, Michael",7328.0
Drama,7328.0
Music & Musicals,7328.0
"Allen, Elizabeth",7329.0
"Ames, Leon",7329.0
"Aylmer, Felix",7329.0
"Bailey, Raymond",7329.0
"Balin, Ina",7329.0
"Caine, Howard",7329.0
"Eden, Barbara",7329.0
"Grizzard, George",7329.0
"Loy, Myrna",7329.0
"Marsh, Mae",7329.0
"Newman, Paul",7329.0
"O'Neal, Patrick",7329.0
"Perry, Barbara",7329.0
"Woodward, Joanne",7329.0
"Robson, Mark",7329.0
"Elliott, Sam",7335.0
"Fiorentino, Linda",7335.0
"Gregory, Peter",7335.0
"Whaley, Frank",7335.0
"Whitford, Bradley",7335.0
Racy,7357.0
"Giacomo, Laura San",7357.0
"MacDowell, Andie",7357.0
"Spader, James",7357.0
"Vawter, Ron",7357.0
"Soderbergh, Steven",7357.0
Marriage,7357.0
Brothers & Sisters,7357.0
Crumbling Marriages,7357.0
Infidelity & Betrayal,7357.0
Psychological Drama,7357.0
Psychological Drama,7357.0
Chess Records,7432.0
Passacaglias,7449.0
"Blanks, Billy",7597.0
"Cox, Brian",7597.0
"Elwes, Cary",7597.0
"Freeman, Morgan",7597.0
"Goldwyn, Tony",7597.0
"Judd, Ashley",7597.0
"Maffia, Roma",7597.0
"Mcarthur, Alex",7597.0
"Nunn, Bill",7597.0
"Piven, Jeremy",7597.0
"Ravera, Gina",7597.0
"Suvari, Mena",7597.0
"Fleder, Gary",7597.0
Murder & Mayhem,7597.0
Kidnapping & Missing Persons,7597.0
Cops,7597.0
Serial Killers,7597.0
Action & Adventure,7603.0
Comedy,7660.0
General,7777.5
"Temple, Shirley",7796.5
Radio Operation,7826.0
"Chevalier, Maurice",7993.0
Holocaust,7993.0
World War II,7993.0
"Metheny, Pat",8043.0
Buddy Films,8089.5
"Banderas, Antonio",8199.5
"Hudson, John",8220.0
"Slate, Jeremy",8220.0
"Taurog, Norman",8220.0
Classics,8220.0
Romance,8220.0
Classics,8220.0
"Anders, Rudolph",8295.0
"Chaplin, Charlie",8295.0
"Conklin, Chester",8295.0
"Daniell, Henry",8295.0
"Gilbert, Billy",8295.0
"Goddard, Paulette",8295.0
"Mann, Hank",8295.0
"Oakie, Jack",8295.0
"Chaplin, Charlie",8295.0
Anti-War Films,8295.0
Two-Disc Special Editions,8295.0
( D ),8347.0
Monkees,8347.0
"Carey, Timothy",8347.0
"Funicello, Annette",8347.0
"Jones, Davy",8347.0
"Liston, Sonny",8347.0
"Macaulay, Charles",8347.0
"Nesmith, Michael",8347.0
"Ramsey, Logan",8347.0
"Scotti, Vito",8347.0
"Sofaer, Abraham",8347.0
"Zappa, Frank",8347.0
"Rafelson, Bob",8347.0
Comedy,8347.0
Psychedelic,8347.0
"Martin, Nan",8376.0
"Twain, Mark",8395.0
Aliens,8403.666666666666
"Rifkin, Ron",8425.0
"Rowe, Misty",8425.0
"Bonerz, Peter",8425.0
"Feldman, Marty",8425.0
"Paris, Jerry",8425.0
All Fox Titles,8451.666666666666
General,8473.666666666666
"Agutter, Jenny",8614.0
"Byrne, Michael",8614.0
"Caine, Michael",8614.0
"Duvall, Robert",8614.0
"Geeson, Judy",8614.0
"Hagman, Larry",8614.0
"Marsh, Jean",8614.0
"Pleasence, Donald",8614.0
"Quayle, Anthony",8614.0
"Standing, John",8614.0
"Taube, Sven Bertil",8614.0
"Williams, Treat",8614.0
"Sturges, John",8614.0
"Preston, Kelly",8639.0
"Culea, Melinda",8641.0
"Futterman, Dan",8641.0
"Harris, Lara",8641.0
"Najimy, Kathy",8641.0
"Ruehl, Mercedes",8641.0
"Williams, Robin",8641.0
"Gilliam, Terry",8641.0
Buddies,8641.0
Redemption,8641.0
Terry Gilliam,8641.0
Robin Williams,8641.0
Drama,8713.666666666666
"Hoffman, Basil",8801.5
"Anderson, Erich",8944.0
"Arquette, Patricia",8944.0
"Burkholder, Scott",8944.0
"Chapman, Lonny",8944.0
"Dourif, Brad",8944.0
"Graham, Lauren",8944.0
"Gregg, Bradley",8944.0
"McGregor, Ewan",8944.0
"Nolte, Nick",8944.0
( B ),8944.0
Zombies,8947.0
"Jones, Duane",8947.0
Zombies,8947.0
Zombies,8947.0
Inspiration,8976.0
Inspiration,8976.0
( W ),8980.333333333334
"Macaulay, Marc",8988.5
Classic TV,9050.5
Comedy,9055.0
Rock,9085.25
"Kenyon, Sandy",9091.0
"Lanchester, Elsa",9091.0
"Presley, Elvis",9091.0
"Presley, Elvis",9091.0
Mountaineering & Climbing,9122.0
"Sorvino, Mira",9128.0
All Universal Studios Titles,9141.5
"Chopra, Deepak",9165.0
General,9174.333333333334
General,9229.5
Feature Films,9248.0
"Burton, Levar",9248.0
"Dorn, Michael",9248.0
"Frakes, Jonathan",9248.0
"Krige, Alice",9248.0
"McDonough, Neal",9248.0
"McFadden, Gates",9248.0
"Picardo, Robert",9248.0
"Scott, Adam",9248.0
"Shearer, Jack",9248.0
"Sirtis, Marina",9248.0
"Spiner, Brent",9248.0
"Stewart, Patrick",9248.0
"Woodard, Alfre",9248.0
"Yasutake, Patti",9248.0
"Frakes, Jonathan",9248.0
General,9248.0
"Carpenter, John",9250.5
Twelve-Step Programs,9360.0
Kids & Family,9368.0
General,9368.0
Educational,9368.0
General,9370.0
Showbiz,9419.5
"Wang, Wayne",9432.0
"Allen, Patrick",9455.0
"Atkinson, Rowan",9455.0
"Blessed, Brian",9455.0
"Gray, Elspet",9455.0
"McInnerny, Tim",9455.0
"Robinson, Tony",9455.0
"Shardlow, Martin",9455.0
All BBC Titles,9455.0
Black Adder,9455.0
Cool Britannia,9455.0
School Days,9580.5
Animated Movies,9591.0
"Argento, Asia",9625.0
"Bonacelli, Paolo",9625.0
"Nicolodi, Daria",9625.0
"Jennings, Juanita",9637.0
"Jones, Tracey Cherelle",9637.0
"Luv, Freez",9637.0
"Singleton, John",9637.0
Urban Life,9637.0
Mothers & Sons,9637.0
"Maloney, Peter",9729.5
"Audley, Maxine",9815.0
"Day, Vera",9815.0
"Kent, Jean",9815.0
"Knight, Esmond",9815.0
"Monroe, Marilyn",9815.0
"Olivier, Laurence",9815.0
"Spenser, Jeremy",9815.0
"Thorndike, Sybil",9815.0
"Olivier, Laurence",9815.0
Comedy,9815.0
"Stern, Daniel",9839.0
"Baldwin, Peter",9839.0
"Dinner, Michael",9839.0
